anak | Jika anjing menjilat bejana seorang dari kalian, maka hendaklah ia cuci hingga tujuh kali.
anak | Hendaklah kalian mulai dari yang sebelah kanan dan anggota wudhunya.
anak | Barangsiapa berwudhu hendaklah mengeluarkan (air dari hidung), dan barangsiapa beristinja' dengan batu hendaklah dengan bilangan ganjil.
anak | Sesungguhnya darah kalian, harta kalian dan kehormatan kalian sesama kalian haram (suci) sebagaimana sucinya hari kalian ini, bulan kalian ini dan tanah kalian ini. (Maka) hendaklah yang hadir menyampaikan kepada yang tidak hadir, karena orang yang hadir semoga dapat menyampaikan kepada orang yang lebih paham darinya.
anak | Jika datang haid maka tinggalkanlah shalat, dan bila telah berakhir maka bersihkanlah darah darimu lalu shalatlah.
anak | Sesungguhnya dijadikannya imam itu untuk diikuti. Jika imam bertakbir maka takbirlah kalian, jika rukuk maka rukuklah kalian, jika sujud maka sujudlah kalian, dan jika ia shalat dengan berdiri maka shalatlah kalian dengan berdiri.
anak | Shalatlah di tempat tinggal kalian. Ia melanjutkan perkataannya, "Jika malam sangat dingin dan hujan Rasulullah shallallahu 'alaihi wasallam memerintahkan seorang mu'adzin untuk mengucapkan: "Hendaklah kalian shalat di tempat tinggal kalian.
anak | Jika salah seorang dari kalian masuk masjid, maka hendaklah ia shalat dua rakaat sebelum ia duduk.
anak | Barangsiapa lewat dengan membawa panah di masjid atau pasar kita, maka hendaklah dipegang ujung panahnya dengan tangannya agar tidak melukai seorang muslim.
anak | Kembalilah kalian kepada mereka, bergabunglah bersama mereka, ajari mereka dan shalat bersama mereka. Jika waktu shalat telah tiba, maka hendaklah salah seorang dari kalian mengumandangkan adzan dan hendaklah yang mengimami shalat kalian adalah yang paling tua di antara kalian.
remaja | Janganlah kalian kembali menjadi kafir, sehingga kalian saling membunuh satu sama lain.
remaja | Janganlah salah seorang dari kalian sengaja shalat ketika matahari sedang terbit dan atau ketika saat terbenam.
remaja | Janganlah kalian larang para wanita mendatangi masjid-masjid Allah.
remaja | Janganlah kalian mengangkat kepala kalian hingga para laki - laki telah duduk
remaja | Sungguh kalian telah mengerjakan suatu shalat (yang dilarang). Kami telah mendampingi Rasulullah shallallahu 'alaihi wasallam, dan kami tidak pernah melihat beliau melaksanakannya. Beliau telah melarang keduanya, yaitu dua rakaat setelah shalat 'Ashar.
remaja | Kami dilarang mengantar jenazah namun Beliau tidak menekankan hal tersebut kepada kami.
remaja | Telah dilarang berpuasa dan berjual beli pada hari Raya 'Iedul Fitri dan 'Iedul 'Adha, dan juga dilarang jual beli tanpa mengetahui barang yang dijual dan juga jual beli tanpa memeriksa barang yang dijual.
remaja | Setelah tahun ini tidak boleh seorang musyrikpun ang melaksanakan haji dan tidak boleh thawaf di Ka'bah dengan telanjang.
remaja | "Jika kalian mendengar wabah berada di suatu kawasan, janganlah kalian datang kesana, dan jika terjadi di suatu kawasan yang kalian diami, jangan kalian meninggalkannya."
remaja | Janganlah kalian sepeninggalku menjadi kafir, sebagian kalian memenggal leher sebagian yang lainnya.
dewasa | Iman memiliki lebih dari enam puluh cabang, dan malu adalah bagian dari iman
dewasa | Sesungguhnya ada orang-orang yang mendistribusikan harta Allah dengan jalan yang tidak benar, maka bagi mereka neraka pada hari qiyamat
dewasa | Sungguh celaka aku bila tidak berbuat adil
dewasa | Kami melindungi seseorang yang kau lindungi wahai Ummu Hani'". Ummu Hani' berkata: "Saat itu adalah waktu dhuha
dewasa | Empat hal bila ada pada seseorang maka dia adalah seorang munafiq tulen yaitu orang yang jika berbicara dusta, jika berjanji mengingkari, jika diberi amanat dia khiyanat dan jika berseteru dia curang dan barangsiapa yang ada padanya salah satu sifat itu, dia punya sifat nifaq hingga dia meninggalkannya
dewasa | Bagi setiap pengkhiyanat akan diberikan bendera pada hari qiyamat yang ditegakkan sesuai kadar pengkhiyanatannya
dewasa | Ketika Allah menetapkan penciptaan makhluq, Dia menulis di dalam Kitab-Nya, yang berada di sisi-Nya di atas ai-'Arsy (yang isinya): "Sesungguhnya rahmat-Ku mengalahkan kemurkaan-Ku
dewasa | Tidak akan terjadi hari qiyamat hingga muncul seorang laki-laki dari suku Qahthan menggiring manusia dengan tongkatnya
dewasa | Sesungguhnya Bani Hasyim dan Bani Al Muthallib adalah kedudukannya sama (satu) .
dewasa | Sesungguhnya diantara apa yang didapatkan manusia dari perkataan (yang disepakati) para Nabi adalah; "Jika kamu tidak malu, berbuatlah sesukamu
